Operation,Cache Size,Result
Operation 1,0,-1
Operation 2,1,N/A
Operation 3,1,40
Operation 4,1,-1
Operation 5,2,N/A
Operation 6,2,-1
Operation 7,2,N/A
Operation 8,2,50
Operation 9,2,N/A
Operation 10,2,-1
Operation 11,2,-1
Operation 12,2,N/A
Operation 13,2,-1
Operation 14,2,N/A
Operation 15,2,-1
Operation 16,2,-1
Operation 17,2,N/A
Operation 18,2,-1
Operation 19,2,-1
Operation 20,2,N/A
Operation 21,2,N/A
Operation 22,2,-1
Operation 23,2,90
Operation 24,2,N/A
Operation 25,2,-1
Operation 26,2,N/A
Operation 27,2,-1
Operation 28,2,-1
Operation 29,2,N/A
Operation 30,2,-1
Operation 31,2,-1
Operation 32,2,N/A
Operation 33,2,-1
Operation 34,2,N/A
Operation 35,2,-1
Operation 36,2,N/A
Operation 37,2,-1
Operation 38,2,-1
Operation 39,2,N/A
Operation 40,2,-1
Operation 41,2,N/A
Operation 42,2,-1
Operation 43,2,-1
Operation 44,2,N/A
Operation 45,2,-1
Operation 46,2,-1
Operation 47,2,N/A
Operation 48,2,N/A
Operation 49,2,-1
Operation 50,2,90
Operation 51,2,N/A
Operation 52,2,-1
Operation 53,2,N/A
Operation 54,2,-1
Operation 55,2,-1
Operation 56,2,N/A
Operation 57,2,-1
Operation 58,2,-1
Operation 59,2,N/A
Operation 60,2,-1
Operation 61,2,N/A
Operation 62,2,-1
Operation 63,2,N/A
Operation 64,2,-1
Operation 65,2,-1
Operation 66,2,N/A
Operation 67,2,-1
Operation 68,2,N/A
Operation 69,2,-1
Operation 70,2,-1
Operation 71,2,N/A
Operation 72,2,-1
Operation 73,2,-1
Operation 74,2,N/A
Operation 75,2,N/A
Operation 76,2,-1
Operation 77,2,90
Operation 78,2,N/A
Operation 79,2,-1
Operation 80,2,N/A
Operation 81,2,-1
Operation 82,2,-1
Operation 83,2,N/A
Operation 84,2,-1
Operation 85,2,-1
Operation 86,2,N/A
Operation 87,2,-1
Operation 88,2,N/A
Operation 89,2,-1
Operation 90,2,N/A
Operation 91,2,-1
Operation 92,2,-1
Operation 93,2,N/A
Operation 94,2,-1
Operation 95,2,N/A
Operation 96,2,-1
Operation 97,2,-1
Operation 98,2,N/A
Operation 99,2,-1
Operation 100,2,-1
Operation 101,2,N/A
Operation 102,2,N/A
Operation 103,2,-1
Operation 104,2,90
Operation 105,2,N/A
Operation 106,2,-1
Operation 107,2,N/A
Operation 108,2,-1
Operation 109,2,-1
Operation 110,2,N/A
Operation 111,2,-1
Operation 112,2,-1
Operation 113,2,N/A
Operation 114,2,-1
Operation 115,2,N/A
Operation 116,2,-1
Operation 117,2,N/A
Operation 118,2,-1
Operation 119,2,-1
Operation 120,2,N/A
Operation 121,2,-1
Operation 122,2,N/A
Operation 123,2,-1
Operation 124,2,-1
Operation 125,2,N/A
Operation 126,2,-1
Operation 127,2,-1
Operation 128,2,N/A
Operation 129,2,N/A
Operation 130,2,-1
Operation 131,2,90
Operation 132,2,N/A
Operation 133,2,-1
Operation 134,2,N/A
Operation 135,2,-1
Operation 136,2,-1
Operation 137,2,N/A
Operation 138,2,-1
Operation 139,2,-1
Operation 140,2,N/A
Operation 141,2,-1
Operation 142,2,N/A
Operation 143,2,-1
Operation 144,2,N/A
Operation 145,2,-1
Operation 146,2,-1
Operation 147,2,N/A
Operation 148,2,-1
Operation 149,2,N/A
Operation 150,2,-1
